"Index","Offset","TokenVar","TargetProp","TokenType","TokenString"
"740","8094258","Ma","","Symbol.for","ITeaFacade"
"741","8094347","Os","","Symbol.for","aiAgent.IConfigurationConnectorService"
"742","8094447","Ei","","Symbol.for","aiAgent.ICredentialFacade"
"743","8094543","kA","","Symbol.for","aiAgent.IAiNativeModelService"
"744","8099564","Ei","","Symbol.for","aiAgent.ICredentialFacade"
"745","8099660","","","",""
"746","8099833","bY","","Symbol.for","aiAgent.ILogService"
"747","8099975","bY","_teaService","Symbol.for","aiAgent.ILogService"
"748","8100065","","_teaService","",""
"749","8100226","","_teaService","",""
"750","8100890","bY","","Symbol.for","aiAgent.ILogService"
"751","8100980","Tm","","Symbol.for","ai.IDocsetStore"
"752","8101070","","","",""
"753","8112515","Au","","Symbol.for","aiAgent.IFileFacade"
"754","8112605","bY","","Symbol.for","aiAgent.ILogService"
"755","8112695","UR","","Symbol.for","aiAgent.IAiAgentNativeDSLAgentService"
"756","8112824","UR","","Symbol.for","aiAgent.IAiAgentNativeDSLAgentService"
"757","8112971","UR","","Symbol.for","aiAgent.IAiAgentNativeDSLAgentService"
"758","8113074","","","",""
"759","8113216","G0","","Symbol.for","aiNg.IWorkspaceService"
"760","8113394","G0","_workspacePathsCache","Symbol.for","aiNg.IWorkspaceService"
"761","8113490","MR","_workspacePathsCache","Symbol.for","aiAgent.ISlardarFacade"
"762","8121806","G0","","Symbol.for","aiNg.IWorkspaceService"
"763","8121902","ED","","Symbol.for","aiAgent.IEnvironmentFacade"
"764","8121999","Au","_persistenceService","Symbol.for","aiAgent.IFileFacade"
"765","8122129","Au","_persistenceService","Symbol.for","aiAgent.IFileFacade"
"766","8122219","M0","_persistenceService","Symbol.for","aiAgent.ISessionService"
"767","8122313","bY","_persistenceService","Symbol.for","aiAgent.ILogService"
"768","8129112","Au","","Symbol.for","aiAgent.IFileFacade"
"769","8129242","Au","","Symbol.for","aiAgent.IFileFacade"
"770","8129332","bY","","Symbol.for","aiAgent.ILogService"
"771","8129422","eth","","Symbol.for","IKnowledgesPersistenceService"
"772","8132309","Tm","","Symbol.for","ai.IDocsetStore"
"773","8132399","bY","_sessionService","Symbol.for","aiAgent.ILogService"
"774","8132489","","_sessionService","",""
"775","8138668","M0","","Symbol.for","aiAgent.ISessionService"
"776","8138762","Di","","Symbol.for","aiAgent.IAiAgentNativeChatService"
